dV,flux,anh_tb,anh_pot
0.000000,0.000100,-0.059836,-0.059836
0.000000,0.010200,-0.059835,-0.059835
0.000000,0.020300,-0.059834,-0.059834
0.000000,0.030400,-0.059832,-0.059832
0.000000,0.040500,-0.059829,-0.059829
0.000000,0.050600,-0.059825,-0.059825
0.000000,0.060700,-0.059821,-0.059821
0.000000,0.070800,-0.059816,-0.059816
0.000000,0.080900,-0.059810,-0.059810
0.000000,0.091000,-0.059803,-0.059803
0.000000,0.101100,-0.059795,-0.059795
0.000000,0.111200,-0.059786,-0.059786
0.000000,0.121300,-0.059777,-0.059777
0.000000,0.131400,-0.059767,-0.059767
0.000000,0.141500,-0.059756,-0.059756
0.000000,0.151600,-0.059744,-0.059744
0.000000,0.161700,-0.059732,-0.059732
0.000000,0.171800,-0.059718,-0.059718
0.000000,0.181900,-0.059704,-0.059704
0.000000,0.192000,-0.059689,-0.059689
0.000000,0.202100,-0.059674,-0.059674
0.000000,0.212200,-0.059657,-0.059657
0.000000,0.222300,-0.059640,-0.059640
0.000000,0.232400,-0.059622,-0.059622
0.000000,0.242500,-0.059603,-0.059603
0.000000,0.252600,-0.059583,-0.059583
0.000000,0.262700,-0.059563,-0.059563
0.000000,0.272800,-0.059542,-0.059541
0.000000,0.282900,-0.059520,-0.059519
0.000000,0.293000,-0.059497,-0.059497
0.000000,0.303100,-0.059474,-0.059473
0.000000,0.313200,-0.059450,-0.059449
0.000000,0.323300,-0.059425,-0.059424
0.000000,0.333400,-0.059399,-0.059398
0.000000,0.343500,-0.059373,-0.059372
0.000000,0.353600,-0.059345,-0.059344
0.000000,0.363700,-0.059317,-0.059316
0.000000,0.373800,-0.059289,-0.059288
0.000000,0.383900,-0.059259,-0.059258
0.000000,0.394000,-0.059229,-0.059228
0.000000,0.404100,-0.059199,-0.059197
0.000000,0.414200,-0.059167,-0.059166
0.000000,0.424300,-0.059135,-0.059133
0.000000,0.434400,-0.059102,-0.059100
0.000000,0.444500,-0.059069,-0.059066
0.000000,0.454600,-0.059035,-0.059032
0.000000,0.464700,-0.059000,-0.058997
0.000000,0.474800,-0.058964,-0.058961
0.000000,0.484900,-0.058928,-0.058925
0.000000,0.495000,-0.058891,-0.058887
0.000000,0.505100,-0.058854,-0.058850
0.000000,0.515200,-0.058816,-0.058811
0.000000,0.525300,-0.058777,-0.058772
0.000000,0.535400,-0.058738,-0.058732
0.000000,0.545500,-0.058698,-0.058692
0.000000,0.555600,-0.058657,-0.058650
0.000000,0.565700,-0.058616,-0.058609
0.000000,0.575800,-0.058575,-0.058566
0.000000,0.585900,-0.058532,-0.058523
0.000000,0.596000,-0.058490,-0.058480
0.000000,0.606100,-0.058447,-0.058436
0.000000,0.616200,-0.058403,-0.058391
0.000000,0.626300,-0.058359,-0.058345
0.000000,0.636400,-0.058314,-0.058299
0.000000,0.646500,-0.058269,-0.058253
0.000000,0.656600,-0.058224,-0.058206
0.000000,0.666700,-0.058178,-0.058158
0.000000,0.676800,-0.058132,-0.058110
0.000000,0.686900,-0.058085,-0.058061
0.000000,0.697000,-0.058039,-0.058011
0.000000,0.707100,-0.057992,-0.057961
0.000000,0.717200,-0.057945,-0.057911
0.000000,0.727300,-0.057898,-0.057860
0.000000,0.737400,-0.057851,-0.057809
0.000000,0.747500,-0.057804,-0.057757
0.000000,0.757600,-0.057757,-0.057704
0.000000,0.767700,-0.057711,-0.057651
0.000000,0.777800,-0.057665,-0.057598
0.000000,0.787900,-0.057620,-0.057544
0.000000,0.798000,-0.057577,-0.057490
0.000000,0.808100,-0.057537,-0.057440
0.000000,0.818200,-0.057510,-0.057410
0.000000,0.828300,-0.057542,-0.057476
0.000000,0.838400,-0.057819,-0.057935
0.000000,0.848500,-0.059043,-0.059853
0.000000,0.858600,-0.063535,-0.066596
0.000000,0.868700,-0.078193,-0.087602
0.000000,0.878800,-0.121100,-0.146292
0.000000,0.888900,-0.234399,-0.293858
0.000000,0.899000,-0.504191,-0.628018
0.000000,0.909100,-1.083532,-1.307998
0.000000,0.919200,-2.199218,-2.542206
0.000000,0.929300,-4.097138,-4.508266
0.000000,0.939400,-6.875376,-7.176197
0.000000,0.949500,-10.202851,-10.099153
0.000000,0.959600,-13.144040,-12.386196
0.000000,0.969700,-14.427575,-13.042235
0.000000,0.979800,-13.123454,-11.491309
