seed,flux,f01,f12,Ic,anharmonicity
1,0.000100,16.455523,16.303298,0.389728,-0.152225
1,0.050604,16.427267,16.274719,0.387662,-0.152548
1,0.101108,16.342557,16.189039,0.382338,-0.153518
1,0.151612,16.200897,16.045751,0.373833,-0.155145
1,0.202116,16.001451,15.844007,0.362269,-0.157444
1,0.252620,15.743042,15.582612,0.347821,-0.160430
1,0.303124,15.424137,15.260025,0.330723,-0.164112
1,0.353628,15.042850,14.874366,0.311260,-0.168484
1,0.404132,14.596951,14.423445,0.289756,-0.173506
1,0.454636,14.083911,13.904833,0.266587,-0.179078
1,0.505140,13.500999,13.316000,0.242169,-0.184999
1,0.555644,12.845503,12.654600,0.216954,-0.190903
1,0.606148,12.115184,11.919025,0.191436,-0.196158
1,0.656653,11.309282,11.109579,0.166138,-0.199703
1,0.707157,10.430836,10.231058,0.141616,-0.199778
1,0.757661,9.492495,9.298841,0.118408,-0.193654
1,0.808165,8.531600,8.353031,0.096976,-0.178568
1,0.858669,7.645018,7.483753,0.077613,-0.161265
1,0.909173,7.018349,6.828936,0.060440,-0.189413
1,0.959677,6.750516,6.409460,0.045508,-0.341056
1,1.010181,6.532052,5.960076,0.053563,-0.571975
1,1.060685,6.070174,5.687083,0.068445,-0.383091
1,1.111189,5.770557,5.985430,0.082691,0.214874
1,1.161693,5.994424,6.438711,0.095441,0.444287
1,1.212197,6.521851,6.858633,0.106202,0.336782
1,1.262701,7.095449,7.242719,0.114704,0.147270
1,1.313205,7.607128,7.584531,0.120830,-0.022597
1,1.363709,8.029611,7.870152,0.124587,-0.159458
1,1.414213,8.362628,8.092266,0.126092,-0.270362
1,1.464717,8.611895,8.253267,0.125546,-0.358629
1,1.515221,8.782752,8.362480,0.123215,-0.420272
1,1.565725,8.879492,8.431006,0.119412,-0.448486
1,1.616229,8.907213,8.466289,0.114474,-0.440924
1,1.666733,8.874626,8.469489,0.108744,-0.405137
1,1.717237,8.795919,8.438675,0.102573,-0.357244
1,1.767741,8.689366,8.375812,0.096351,-0.313554
1,1.818245,8.572147,8.289943,0.090559,-0.282205
1,1.868749,8.455340,8.194109,0.085827,-0.261231
1,1.919254,8.345629,8.103489,0.082956,-0.242140
1,1.969758,8.254896,8.038875,0.082744,-0.216021
1,2.020262,8.208150,8.027292,0.085554,-0.180858
1,2.070766,8.237201,8.091846,0.091087,-0.145355
1,2.121270,8.360952,8.238702,0.098618,-0.122250
1,2.171774,8.571294,8.454559,0.107327,-0.116735
1,2.222278,8.838488,8.714297,0.116469,-0.124192
1,2.272782,9.127100,8.990299,0.125442,-0.136801
1,2.323286,9.407590,9.258600,0.133783,-0.148990
1,2.373790,9.659709,9.501319,0.141145,-0.158390
1,2.424294,9.871231,9.706551,0.147297,-0.164680
1,2.474798,10.035542,9.867168,0.152094,-0.168374
1,2.525302,10.149607,9.979474,0.155482,-0.170133
1,2.575806,10.212628,10.042154,0.157490,-0.170473
1,2.626310,10.225281,10.055592,0.158207,-0.169690
1,2.676814,10.189361,10.021493,0.157784,-0.167868
1,2.727318,10.107690,9.942757,0.156389,-0.164932
1,2.777822,9.984192,9.823474,0.154198,-0.160718
1,2.828326,9.824052,9.668966,0.151367,-0.155086
1,2.878830,9.633827,9.485764,0.148016,-0.148063
1,2.929334,9.421408,9.281398,0.144221,-0.140010
1,2.979838,9.195655,9.063934,0.140044,-0.131722
1,3.030342,8.965627,8.841255,0.135520,-0.124372
1,3.080846,8.739469,8.620249,0.130686,-0.119219
1,3.131351,8.523268,8.406136,0.125588,-0.117132
1,3.181855,8.320341,8.202179,0.120285,-0.118162
1,3.232359,8.131349,8.009919,0.114849,-0.121429
1,3.282863,7.955279,7.829868,0.109371,-0.125412
1,3.333367,7.790946,7.662442,0.103954,-0.128504
1,3.383871,7.638463,7.508842,0.098714,-0.129621
1,3.434375,7.500221,7.371530,0.093768,-0.128691
1,3.484879,7.381023,7.254067,0.089233,-0.126956
1,3.535383,7.287103,7.160193,0.085210,-0.126909
1,3.585887,7.223992,7.092331,0.081786,-0.131661
1,3.636391,7.193661,7.049881,0.079014,-0.143780
1,3.686895,7.192060,7.027833,0.076923,-0.164227
1,3.737399,7.208276,7.016071,0.075505,-0.192206
1,3.787903,7.225674,6.999621,0.074717,-0.226053
1,3.838407,7.224103,6.959859,0.074480,-0.264244
1,3.888911,7.181878,6.876755,0.074678,-0.305123
1,3.939415,7.077012,6.733019,0.075154,-0.343993
1,3.989919,6.888763,6.522629,0.075730,-0.366134
1,4.040423,6.603294,6.265985,0.076220,-0.337309
1,4.090927,6.231378,6.022265,0.076454,-0.209113
1,4.141431,5.843884,5.866935,0.076282,0.023051
1,4.191935,5.593252,5.829167,0.075595,0.235916
1,4.242439,5.632553,5.881988,0.074314,0.249435
1,4.292943,5.961160,6.016886,0.072401,0.055725
1,4.343447,6.428726,6.250263,0.069856,-0.178463
1,4.393952,6.885690,6.558136,0.066719,-0.327554
